"x" "type"
"1" "subject" "integer"
"2" "activity" "character"
"3" "totalbodyaccelerationmeanx" "numeric"
"4" "totalbodyaccelerationmeany" "numeric"
"5" "totalbodyaccelerationmeanz" "numeric"
"6" "totalbodyaccelerationstddevx" "numeric"
"7" "totalbodyaccelerationstddevy" "numeric"
"8" "totalbodyaccelerationstddevz" "numeric"
"9" "totalgravityaccelerationmeanx" "numeric"
"10" "totalgravityaccelerationmeany" "numeric"
"11" "totalgravityaccelerationmeanz" "numeric"
"12" "totalgravityaccelerationstddevx" "numeric"
"13" "totalgravityaccelerationstddevy" "numeric"
"14" "totalgravityaccelerationstddevz" "numeric"
"15" "totalbodyaccelerationjerkmeanx" "numeric"
"16" "totalbodyaccelerationjerkmeany" "numeric"
"17" "totalbodyaccelerationjerkmeanz" "numeric"
"18" "totalbodyaccelerationjerkstddevx" "numeric"
"19" "totalbodyaccelerationjerkstddevy" "numeric"
"20" "totalbodyaccelerationjerkstddevz" "numeric"
"21" "totalbodygyromeanx" "numeric"
"22" "totalbodygyromeany" "numeric"
"23" "totalbodygyromeanz" "numeric"
"24" "totalbodygyrostddevx" "numeric"
"25" "totalbodygyrostddevy" "numeric"
"26" "totalbodygyrostddevz" "numeric"
"27" "totalbodygyrojerkmeanx" "numeric"
"28" "totalbodygyrojerkmeany" "numeric"
"29" "totalbodygyrojerkmeanz" "numeric"
"30" "totalbodygyrojerkstddevx" "numeric"
"31" "totalbodygyrojerkstddevy" "numeric"
"32" "totalbodygyrojerkstddevz" "numeric"
"33" "totalbodyaccelerationmagnitudemean" "numeric"
"34" "totalbodyaccelerationmagnitudestddev" "numeric"
"35" "totalgravityaccelerationmagnitudemean" "numeric"
"36" "totalgravityaccelerationmagnitudestddev" "numeric"
"37" "totalbodyaccelerationjerkmagnitudemean" "numeric"
"38" "totalbodyaccelerationjerkmagnitudestddev" "numeric"
"39" "totalbodygyromagnitudemean" "numeric"
"40" "totalbodygyromagnitudestddev" "numeric"
"41" "totalbodygyrojerkmagnitudemean" "numeric"
"42" "totalbodygyrojerkmagnitudestddev" "numeric"
"43" "frequencybodyaccelerationmeanx" "numeric"
"44" "frequencybodyaccelerationmeany" "numeric"
"45" "frequencybodyaccelerationmeanz" "numeric"
"46" "frequencybodyaccelerationstddevx" "numeric"
"47" "frequencybodyaccelerationstddevy" "numeric"
"48" "frequencybodyaccelerationstddevz" "numeric"
"49" "frequencybodyaccelerationmeanfreqx" "numeric"
"50" "frequencybodyaccelerationmeanfreqy" "numeric"
"51" "frequencybodyaccelerationmeanfreqz" "numeric"
"52" "frequencybodyaccelerationjerkmeanx" "numeric"
"53" "frequencybodyaccelerationjerkmeany" "numeric"
"54" "frequencybodyaccelerationjerkmeanz" "numeric"
"55" "frequencybodyaccelerationjerkstddevx" "numeric"
"56" "frequencybodyaccelerationjerkstddevy" "numeric"
"57" "frequencybodyaccelerationjerkstddevz" "numeric"
"58" "frequencybodyaccelerationjerkmeanfreqx" "numeric"
"59" "frequencybodyaccelerationjerkmeanfreqy" "numeric"
"60" "frequencybodyaccelerationjerkmeanfreqz" "numeric"
"61" "frequencybodygyromeanx" "numeric"
"62" "frequencybodygyromeany" "numeric"
"63" "frequencybodygyromeanz" "numeric"
"64" "frequencybodygyrostddevx" "numeric"
"65" "frequencybodygyrostddevy" "numeric"
"66" "frequencybodygyrostddevz" "numeric"
"67" "frequencybodygyromeanfreqx" "numeric"
"68" "frequencybodygyromeanfreqy" "numeric"
"69" "frequencybodygyromeanfreqz" "numeric"
"70" "frequencybodyaccelerationmagnitudemean" "numeric"
"71" "frequencybodyaccelerationmagnitudestddev" "numeric"
"72" "frequencybodyaccelerationmagnitudemeanfreq"
"73" "frequencybodybodyaccelerationjerkmagnitudemean" "numeric"
"74" "frequencybodybodyaccelerationjerkmagnitudestddev" "numeric"
"75" "frequencybodybodyaccelerationjerkmagnitudemeanfreq"
"76" "frequencybodybodygyromagnitudemean" "numeric"
"77" "frequencybodybodygyromagnitudestddev" "numeric"
"78" "frequencybodybodygyromagnitudemeanfreq"
"79" "frequencybodybodygyrojerkmagnitudemean" "numeric"
"80" "frequencybodybodygyrojerkmagnitudestddev" "numeric"
"81" "frequencybodybodygyrojerkmagnitudemeanfreq"
"82" "angletbodyaccelerationmeantogravity" "numeric"
"83" "angletbodyaccelerationjerkmeantogravitymean" "numeric"
"84" "angletbodygyromeantogravitymean" "numeric"
"85" "angletbodygyrojerkmeantogravitymean" "numeric"
"86" "anglextogravitymean" "numeric"
"87" "angleytogravitymean" "numeric"
"88" "angleztogravitymean" "numeric"
